Sample_ID,Bacterivores,Fungivores,Herbivores,Omnivores,Predators,Unidentified,Total_Number,Latitude,Longitude,Pixel_Lat,Pixel_Long,WWF_Biome,sampling method,DOI/URL,Data_provider
1,1719,21,859,126,21,377,3124,53.09239939,6.626211158,53.09583282,6.629166603,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
2,3493,106,2382,688,371,847,7886,52.75214687,6.498077645,52.75416565,6.495833397,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
3,1745,109,1391,136,0,709,4090,52.75343643,6.34998248,52.75416565,6.345833302,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
4,2469,193,1890,270,0,964,5787,52.87848016,6.441869457,52.87916565,6.445833206,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
5,1623,138,2832,414,138,35,5180,53.16010291,6.40747149,53.16249847,6.404166698,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
6,1783,79,1311,236,52,472,3933,52.91989315,6.784877203,52.92083359,6.787499905,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
7,1632,233,2680,272,78,932,5827,52.85940087,6.56020006,52.86249924,6.5625,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
8,1522,24,1427,285,71,238,3567,52.67815277,6.703235181,52.67916489,6.704166889,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
9,4049,92,1289,92,46,1289,6857,52.91677271,6.130568612,52.92083359,6.129166603,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
10,2597,293,1573,183,110,366,5120,52.21794024,6.37473271,52.22083282,6.370833397,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
11,3684,88,1228,307,44,1140,6490,52.6463967,6.244202629,52.64583206,6.245833397,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
12,635,30,192,71,20,565,1513,52.11909214,5.562415523,52.12083435,5.5625,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
13,1205,0,319,102,88,464,2178,51.5681455,4.579492816,51.57083511,4.579166889,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
14,1934,0,2041,465,36,895,5370,51.5707844,5.574717248,51.57083511,5.570833206,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
15,1519,0,1486,65,65,1712,4847,51.59761261,5.127416831,51.59583282,5.129166603,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
16,3341,0,1445,452,0,1626,6863,51.40012873,5.315353003,51.40416718,5.3125,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
17,758,39,591,193,64,283,1927,52.9227256,6.517291637,52.92083359,6.520833492,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
18,1322,51,585,204,0,1654,3816,52.82532162,6.351564711,52.82916641,6.354166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
19,3075,0,2306,641,64,3587,9673,53.00560821,6.281067594,53.00416565,6.279166698,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
20,1031,165,3630,495,165,577,6063,53.07869468,6.103494206,53.07916641,6.104166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
21,2802,239,889,171,68,957,5127,52.3560644,6.561541057,52.35416794,6.5625,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
22,2317,105,1932,211,35,843,5443,52.37625113,6.312404943,52.37916565,6.3125,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
23,2280,175,2104,421,35,245,5260,52.49373372,6.226513567,52.49583435,6.229166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
24,3152,141,1647,612,141,1694,7386,52.42129797,6.298645254,52.42083359,6.295833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
25,1599,92,584,154,62,2122,4614,52.44779009,6.358031429,52.44583511,6.354166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
26,1951,63,1038,409,31,1227,4720,52.56572903,6.213135104,52.5625,6.212500095,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
27,2655,145,1309,255,109,800,5273,52.20594515,6.250345219,52.20416641,6.254166603,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
28,4589,111,2101,332,387,608,8128,51.88006613,6.52003958,51.87916565,6.520833492,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
29,2912,231,1618,601,231,1340,6933,51.89775594,6.549545539,51.89583206,6.545833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
30,1998,54,1782,81,108,0,4023,52.17898403,6.249823125,52.17916489,6.245833397,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
31,2466,29,1347,143,57,229,4271,52.04384898,6.290948112,52.04583359,6.287499905,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
32,1867,29,919,172,144,1293,4424,52.06035005,6.466271922,52.0625,6.462500095,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
33,2020,105,1206,184,79,393,3987,52.47754523,5.917095895,52.47916794,5.920833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
34,2442,70,942,244,0,1535,5233,51.41677973,5.947844704,51.42083359,5.945833206,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
35,1153,47,568,16,32,631,2447,51.51680378,5.171099412,51.52083206,5.170833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
36,1646,99,238,99,139,773,2994,51.50790751,5.228758301,51.50416565,5.229166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
37,2257,0,1319,278,0,1354,5207,51.6067818,5.228413296,51.60416794,5.229166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
38,2196,139,1289,0,105,1498,5227,51.44508627,5.344050813,51.44583511,5.345833302,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
39,1906,0,896,318,202,1011,4333,51.61583441,5.286135327,51.61249924,5.287499905,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
40,1975,0,1020,230,132,1580,4937,51.68742856,5.676430076,51.6875,5.679166794,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
41,1850,51,617,154,103,1079,3854,51.62364554,5.921520446,51.62083435,5.920833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
42,2678,151,830,113,151,1811,5733,51.64187177,5.863947818,51.64583206,5.862500191,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
43,1557,232,2616,431,33,199,5067,52.79967095,6.173062475,52.79583359,6.170833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
44,1448,117,3989,274,0,39,5867,52.84036427,6.663588302,52.83750153,6.662499905,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
45,3222,385,1827,385,48,1346,7214,52.42381149,5.872348149,52.42083359,5.870833397,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
46,2949,402,5965,469,0,268,10053,52.96614839,6.667274107,52.96250153,6.670833111,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
47,1977,126,1851,188,31,533,4707,51.44884922,5.122956872,51.44583511,5.120833397,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
48,2380,269,2155,314,90,1526,6734,51.62463863,5.156144561,51.62083435,5.154166698,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
49,3051,74,1948,110,257,184,5623,52.21889119,6.777447464,52.22083282,6.779166698,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
50,505,0,551,23,31,70,1180,52.27642368,6.427553332,52.27916718,6.429166794,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
51,1822,186,1387,104,21,83,3603,52.24579559,6.269070667,52.24583435,6.270833492,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
52,1817,141,909,61,182,20,3130,52.58830162,6.700548831,52.58750153,6.704166889,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
53,1682,20,1227,20,59,99,3107,52.38835944,6.885604944,52.38750076,6.887499809,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
54,2422,140,839,47,93,233,3773,52.43522165,6.725414662,52.4375,6.729166508,4,Oostenbrink elutriator,10.1046/j.1365-2435.2003.00755.x,Christian Mulder
