system:index,Aridity_Index,Bacterivores,CliMond_Annual_Mean_Radiation,CliMond_Highest_Weekly_Radiation,CliMond_Lowest_Weekly_Radiation,CliMond_Radiation_Seasonality,CliMond_Radiation_of_Coldest_Quarter,CliMond_Radiation_of_Driest_Quarter,CliMond_Radiation_of_Warmest_Quarter,CliMond_Radiation_of_Wettest_Quarter,EVI,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Contrast_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Dissimilarity_EVI,EarthEnvTexture_Entropy_EVI,EarthEnvTexture_Evenness_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTexture_Maximum_EVI,EarthEnvTexture_Range_EVI,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTexture_Std_EVI,EarthEnvTexture_Uniformity_EVI,EarthEnvTexture_Variance_EVI,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Hillshade,EarthEnvTopoMed_Northness,EarthEnvTopoMed_Slope,Fungivores,Global_Biomass_IPCC,Gpp,Herbivores,Human_Development_Percentage,NDVI,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,Nadir_Reflectance_Band4,Nadir_Reflectance_Band5,Nadir_Reflectance_Band6,Nadir_Reflectance_Band7,Npp,Omnivores,PET,Pixel_Lat,Pixel_Long,Population_Density,Predators,SG_Bulk_density_015cm,SG_CEC_015cm,SG_Clay_Content_015cm,SG_Coarse_fragments_015cm,SG_Depth_to_bedrock,SG_Probability_of_occurrence_of_R_horizon,SG_SOC_Content_015cm,SG_SOC_Stock_005cm_to_015cm,SG_Sand_Content_015cm,SG_Silt_Content_015cm,SG_Soil_pH_H2O_015cm,Total_Number,Unidentified,WWF_Biome,WorldClim2_Annual_Mean_Temperature,WorldClim2_Annual_Precipitation,WorldClim2_Isothermality,WorldClim2_Max_Temperature_of_Warmest_Month,WorldClim2_Mean_Diurnal_Range,WorldClim2_Mean_Temperature_of_Coldest_Quarter,WorldClim2_Mean_Temperature_of_Driest_Quarter,WorldClim2_Mean_Temperature_of_Warmest_Quarter,WorldClim2_Mean_Temperature_of_Wettest_Quarter,WorldClim2_Min_Temperature_of_Coldest_Month,WorldClim2_Precipitation_Seasonality,WorldClim2_Precipitation_of_Coldest_Quarter,WorldClim2_Precipitation_of_Driest_Month,WorldClim2_Precipitation_of_Driest_Quarter,WorldClim2_Precipitation_of_Warmest_Quarter,WorldClim2_Precipitation_of_Wettest_Month,WorldClim2_Precipitation_of_Wettest_Quarter,WorldClim2_Temperature_Annual_Range,WorldClim2_Temperature_Seasonality,.geo
0000000000000000004e,1088.0,832,196.3833770751953,274.3550109863281,107.48400115966797,0.298739492893219,124.42384338378906,134.2526092529297,259.3956298828125,255.0161590576172,1367.530029296875,737.0,21199.0,3696.0,10491.0,22177.0,8713.0,5784.0,2889.0,484.0,15611.0,7578.0,119.0,1461.0,16808.0,-0.13840459287166595,128.0,128.0,0.061795447021722794,0.1577492207288742,80,483.15533447265625,4224.869140625,17,24.0,2551.723388671875,1618.25927734375,2642.08251953125,431.8959045410156,845.4642944335938,3636.159423828125,3838.10986328125,3180.086669921875,1981.1405029296875,17,2489.0,-31.77083396911621,142.2624969482422,0.012683910317718983,0,1386.46142578125,10.794586181640625,25.553497314453125,2.3198204040527344,200.0,9.238774299621582,6.576748371124268,9.410920143127441,65.60564422607422,8.865288734436035,71.2184829711914,958.0,13,13.0,19.491666793823242,271.0,43.97993850708008,33.599998474121094,13.15000057220459,11.850000381469727,11.850000381469727,27.0,27.0,3.700000047683716,24.489627838134766,52.0,17.0,52.0,92.0,37.0,92.0,29.89999771118164,611.0528564453125,"{""type"":""Point"",""coordinates"":[142.26249560308034,-31.770831918839736]}"
000000000000000000ef,17876.0,86,159.36119079589844,169.75,143.31300354003906,0.049269769340753555,152.44630432128906,161.84014892578125,163.41207885742188,147.69422912597656,4180.67919921875,261.0,72437.0,-1060.0,22649.0,27021.0,9285.0,3069.0,1096.0,610.0,16505.0,7922.0,164.0,723.0,32325.0,0.3872956931591034,65.0,65.0,0.09189660847187042,1.1839488744735718,19.5,18280.353515625,26865.091796875,24.5,0.0,6234.45556640625,279.0712585449219,3177.01123046875,241.4791717529297,431.41943359375,2995.06005859375,1494.0123291015625,509.8110656738281,10463.7470703125,24.5,1503.0,-2.1875,103.34583282470703,46.951385498046875,0,768.2039184570312,15.11976432800293,33.01306915283203,0.2794397175312042,199.79595947265625,16.698389053344727,73.63343811035156,49.04239273071289,41.302978515625,25.720521926879883,44.791717529296875,174.0,19.5,1.0,26.391666412353516,2688.0,91.0394287109375,30.899999618530273,8.466666221618652,26.016666412353516,26.316665649414062,26.700000762939453,26.116666793823242,21.600000381469727,33.553749084472656,872.0,108.0,363.0,767.0,318.0,905.0,9.299999237060547,29.063688278198242,"{""type"":""Point"",""coordinates"":[103.34583385036512,-2.1875012037889445]}"
000000000000000000fa,19234.0,92,160.32623291015625,171.27000427246094,145.45700073242188,0.047463323920965195,154.3821563720703,161.78123474121094,164.6030731201172,149.9439239501953,5094.37451171875,254.0,34614.0,2240.0,14642.0,24892.0,8903.0,4526.0,1597.0,665.0,18514.0,8094.0,171.0,937.0,23617.0,-0.18996413052082062,55.0,55.0,0.44224217534065247,1.045224666595459,71,11250.0,26419.224609375,336,49.0,6933.32958984375,398.7932434082031,3665.8447265625,307.7653503417969,570.6664428710938,3482.73583984375,1944.5543212890625,730.4461669921875,9165.1484375,65,1514.0,-2.0791666507720947,102.79582977294922,42.89892578125,0,714.3013916015625,12.29970932006836,39.40349578857422,2.266329288482666,200.0,7.079221725463867,72.36351776123047,50.794219970703125,40.28696060180664,20.58382225036621,46.917354583740234,591.0,27,1.0,26.633333206176758,2914.0,91.40351104736328,31.399999618530273,8.683333396911621,26.316665649414062,26.483333587646484,26.933334350585938,26.399999618530273,21.899999618530273,30.862106323242188,912.0,129.0,415.0,825.0,333.0,953.0,9.5,28.39122200012207,"{""type"":""Point"",""coordinates"":[102.79583049002892,-2.0791673436954774]}"
00000000000000000230,12175.0,4404.5,127.34089660644531,172.33299255371094,90.19999694824219,0.19882196187973022,106.91854095458984,100.80315399169922,140.77415466308594,128.26962280273438,3359.70703125,833.0,344285.0,1603.0,44204.0,28168.0,9604.0,2287.0,1047.0,1440.0,23078.0,8838.0,424.0,696.0,210213.0,0.03810848295688629,38.5,38.5,-0.15428319573402405,1.8001458644866943,4484.5,9070.943359375,19768.95703125,0,52.0,5865.8720703125,588.1998291015625,2470.82177734375,327.38824462890625,604.9788208007812,2515.193359375,1721.2515869140625,923.8922119140625,9165.3203125,313.5,1101.0,36.22916793823242,140.17916870117188,366.7395935058594,0,1220.7918701171875,16.4232234954834,23.68349838256836,11.032082557678223,200.0,9.758545875549316,20.128965377807617,31.166343688964844,42.94221878051758,33.2827262878418,58.71225357055664,9259.0,56.5,4.0,13.449999809265137,1341.0,29.076923370361328,30.799999237060547,9.449999809265137,3.4833333492279053,3.4833333492279053,23.549999237060547,20.816665649414062,-1.7000000476837158,45.12934112548828,134.0,35.0,134.0,465.0,183.0,491.0,32.5,816.575439453125,"{""type"":""Point"",""coordinates"":[140.179167918102,36.22916600690442]}"
00000000000000000320,14011.0,184.8370806,103.51569366455078,184.50999450683594,26.073999404907227,0.5499248504638672,43.560237884521484,175.5357666015625,155.6213836669922,35.12734603881836,5615.56689453125,554.0,160816.0,4670.0,29568.0,28934.0,9291.0,3103.0,991.0,1101.0,20956.0,8537.0,388.0,584.0,159742.0,0.3515395522117615,74.5,74.5,-0.741451621055603,1.7652397155761719,123.2247204,600.0,16966.27734375,143.7621738,0.0,7639.89697265625,446.2999267578125,3562.119384765625,281.820068359375,625.4791259765625,3088.48779296875,1748.162353515625,753.4956665039062,10801.9833984375,205.3745339,739.0,52.295833587646484,-6.512499809265137,47.69306182861328,0,849.6077270507812,17.92235565185547,18.363988876342773,18.67514419555664,199.2270050048828,37.64018249511719,74.65936279296875,59.30707550048828,42.38616943359375,39.24867630004883,55.87582015991211,677.735962,20.53745339,4.0,10.058333396911621,1036.0,40.33970260620117,17.899999618530273,6.3333330154418945,6.133333206176758,13.083333015441895,14.633333206176758,6.133333206176758,2.200000047683716,24.758129119873047,333.0,58.0,188.0,228.0,121.0,333.0,15.699999809265137,356.20367431640625,"{""type"":""Point"",""coordinates"":[-6.512499252153491,52.29583327639421]}"
00000000000000000362,11078.0,1745,95.50533294677734,181.41799926757812,16.701000213623047,0.623969554901123,29.395462036132812,91.86730194091797,157.89414978027344,151.81854248046875,5000.7783203125,492.0,138852.0,1715.0,29678.0,28146.0,9497.0,2858.0,1004.0,1131.0,21265.0,8667.0,336.0,651.0,88742.0,0.015169394202530384,5.0,5.0,-0.13855211436748505,0.21875829994678497,109,600.0,11819.9951171875,1391,49.0,7084.46923828125,521.575927734375,3368.663330078125,331.5982971191406,655.5262451171875,3219.925537109375,2034.40771484375,938.3538208007812,7430.45458984375,136,755.0,52.75416564941406,6.3458333015441895,104.26553344726562,0,394.952880859375,15.213512420654297,8.558305740356445,6.189700603485107,200.0,0.509673535823822,66.89269256591797,48.915348052978516,75.0002670288086,16.491741180419922,54.18062973022461,4090.0,709,4.0,9.283333778381348,837.0,35.1370849609375,20.100000381469727,8.116666793823242,2.5999999046325684,5.299999713897705,16.16666603088379,6.25,-3.0,16.037887573242188,209.0,50.0,170.0,215.0,82.0,241.0,23.100000381469727,554.5855712890625,"{""type"":""Point"",""coordinates"":[6.345831432078846,52.7541664372737]}"
00000000000000000375,11108.0,1448,95.43790435791016,181.69000244140625,16.562299728393555,0.6263440847396851,29.118854522705078,91.61585235595703,158.10845947265625,152.01553344726562,4149.798828125,468.0,100217.0,2649.0,25837.0,27640.0,9572.0,3010.0,1365.0,1151.0,21033.0,8678.0,304.0,707.0,71475.0,-0.07717035710811615,16.0,16.0,-0.12311796844005585,0.1750069409608841,117,500.0,10962.8134765625,3989,67.0,6310.14990234375,578.7840576171875,2955.0107421875,370.642822265625,661.6068725585938,2777.64697265625,1918.418701171875,992.9673461914062,7001.54443359375,274,737.0,52.837501525878906,6.662499904632568,98.39732360839844,0,453.76324462890625,10.977025032043457,5.052038192749023,5.188211917877197,200.0,0.10077302902936935,54.781517028808594,47.307865142822266,81.54139709472656,13.444772720336914,53.50996017456055,5867.0,39,4.0,9.116666793823242,819.0,34.55988311767578,20.0,7.983333110809326,2.5,5.0,16.066667556762695,6.166666507720947,-3.0999999046325684,16.04625701904297,208.0,49.0,169.0,208.0,82.0,236.0,23.100000381469727,554.2576293945312,"{""type"":""Point"",""coordinates"":[6.662498952490357,52.83750257686156]}"
00000000000000000383,11496.0,2469,95.60095977783203,182.3509979248047,16.615800857543945,0.6262699961662292,29.242231369018555,91.8534927368164,158.27792358398438,145.35337829589844,5438.0859375,490.0,152779.0,2580.0,26146.0,27778.0,9013.0,3460.0,1195.0,1357.0,18742.0,8166.0,338.0,688.0,102838.0,-0.030927347019314766,10.0,10.0,-0.03090769052505493,0.09783206880092621,193,503.56427001953125,12374.5087890625,1890,81.0,7342.67822265625,534.44580078125,3728.997314453125,338.01617431640625,710.9114379882812,3338.7392578125,2082.66015625,920.3945922851562,7600.33740234375,270,741.0,52.87916564941406,6.445833206176758,98.39732360839844,0,416.5709533691406,16.44348907470703,9.909048080444336,6.334293842315674,200.0,0.0,67.6261978149414,50.05244827270508,73.13667297363281,17.290719985961914,54.910404205322266,5787.0,964,4.0,9.141666412353516,853.0,35.28985595703125,20.0,8.116666793823242,2.5166666507720947,5.049999713897705,16.08333396911621,6.150000095367432,-3.0,15.498543739318848,215.0,52.0,174.0,216.0,84.0,245.0,23.0,555.2838745117188,"{""type"":""Point"",""coordinates"":[6.445831232303423,52.8791639580039]}"
00000000000000000395,11175.0,2949,95.29004669189453,180.9029998779297,16.548999786376953,0.6257694959640503,29.065893173217773,81.97661590576172,157.88453674316406,151.8460693359375,4197.61376953125,944.0,422578.0,3298.0,52035.0,28813.0,9536.0,1516.0,934.0,2124.0,23660.0,8908.0,568.0,607.0,335279.0,-0.030907686799764633,14.0,14.0,0.12303920090198517,0.1383552998304367,402,500.0,11184.853515625,5965,73.0,6345.310546875,599.1283569335938,2904.671142578125,376.98309326171875,692.9437255859375,2770.06494140625,1957.6025390625,1079.243896484375,6846.6552734375,469,736.0,52.962501525878906,6.670833110809326,93.465576171875,0,406.1905517578125,14.071918487548828,6.108401775360107,5.409976959228516,200.0,0.2628302574157715,59.29524612426758,46.33576583862305,79.21126556396484,14.619083404541016,53.328914642333984,10053.0,268,4.0,9.054166793823242,823.0,34.970890045166016,19.799999237060547,8.008333206176758,2.450000047683716,4.933333396911621,15.949999809265137,6.133333206176758,-3.0999999046325684,15.9615478515625,208.0,49.0,168.0,208.0,82.0,239.0,22.899999618530273,553.3306274414062,"{""type"":""Point"",""coordinates"":[6.670833012359248,52.96250009759175]}"
00000000000000000399,10194.0,2636,95.70722961425781,181.6649932861328,16.57390022277832,0.6268252730369568,29.225860595703125,82.2903060913086,158.89569091796875,158.89569091796875,3614.189208984375,606.0,244244.0,2516.0,35614.0,27117.0,9092.0,3051.0,1381.0,1410.0,18815.0,8192.0,392.0,768.0,167883.0,0.04630225524306297,3.0,3.0,0.07719016075134277,0.09783206880092621,63.5,500.0,11327.0,563.5,75.0,5626.65966796875,661.4443359375,2768.465576171875,424.74249267578125,711.689697265625,2613.40185546875,1943.9749755859375,1135.2010498046875,6642.39990234375,103.5,749.0,52.98749923706055,7.012499809265137,275.206787109375,0,435.9340515136719,13.952125549316406,4.852316856384277,3.9762470722198486,200.0,0.0,92.02912139892578,52.9332275390625,83.64624786376953,11.214487075805664,53.702308654785156,3902.0,535.5,4.0,9.179166793823242,764.0,33.51688766479492,19.799999237060547,7.608333110809326,2.4166667461395264,4.983333110809326,16.133333206176758,6.183333396911621,-2.9000000953674316,17.349853515625,184.0,44.0,150.0,213.0,77.0,215.0,22.69999885559082,564.4404296875,"{""type"":""Point"",""coordinates"":[7.0124982532763775,52.987497818097374]}"
