Aridity_Index,Bacterivores,CliMond_Annual_Mean_Radiation,CliMond_Highest_Weekly_Radiation,CliMond_Lowest_Weekly_Radiation,CliMond_Radiation_Seasonality,CliMond_Radiation_of_Coldest_Quarter,CliMond_Radiation_of_Driest_Quarter,CliMond_Radiation_of_Warmest_Quarter,CliMond_Radiation_of_Wettest_Quarter,EVI,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Contrast_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Dissimilarity_EVI,EarthEnvTexture_Entropy_EVI,EarthEnvTexture_Evenness_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTexture_Maximum_EVI,EarthEnvTexture_Range_EVI,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTexture_Std_EVI,EarthEnvTexture_Uniformity_EVI,EarthEnvTexture_Variance_EVI,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Hillshade,EarthEnvTopoMed_Northness,EarthEnvTopoMed_Slope,Fungivores,Global_Biomass_IPCC,Gpp,Herbivores,Human_Development_Percentage,NDVI,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,Nadir_Reflectance_Band3,Nadir_Reflectance_Band4,Nadir_Reflectance_Band5,Nadir_Reflectance_Band6,Nadir_Reflectance_Band7,Npp,Omnivores,PET,Pixel_Lat,Pixel_Long,Population_Density,Predators,SG_Bulk_density_015cm,SG_CEC_015cm,SG_Clay_Content_015cm,SG_Coarse_fragments_015cm,SG_Depth_to_bedrock,SG_Probability_of_occurrence_of_R_horizon,SG_SOC_Content_015cm,SG_SOC_Stock_005cm_to_015cm,SG_Sand_Content_015cm,SG_Silt_Content_015cm,SG_Soil_pH_H2O_015cm,Total_Number,Unidentified,WWF_Biome,WorldClim2_Annual_Mean_Temperature,WorldClim2_Annual_Precipitation,WorldClim2_Isothermality,WorldClim2_Max_Temperature_of_Warmest_Month,WorldClim2_Mean_Diurnal_Range,WorldClim2_Mean_Temperature_of_Coldest_Quarter,WorldClim2_Mean_Temperature_of_Driest_Quarter,WorldClim2_Mean_Temperature_of_Warmest_Quarter,WorldClim2_Mean_Temperature_of_Wettest_Quarter,WorldClim2_Min_Temperature_of_Coldest_Month,WorldClim2_Precipitation_Seasonality,WorldClim2_Precipitation_of_Coldest_Quarter,WorldClim2_Precipitation_of_Driest_Month,WorldClim2_Precipitation_of_Driest_Quarter,WorldClim2_Precipitation_of_Warmest_Quarter,WorldClim2_Precipitation_of_Wettest_Month,WorldClim2_Precipitation_of_Wettest_Quarter,WorldClim2_Temperature_Annual_Range,WorldClim2_Temperature_Seasonality
1088,832,196.3833771,274.355011,107.4840012,0.298739493,124.4238434,134.2526093,259.3956299,255.0161591,1367.530029,737,21199,3696,10491,22177,8713,5784,2889,484,15611,7578,119,1461,16808,-0.138404593,128,128,0.061795447,0.157749221,80,483.1553345,4224.869141,17,24,2551.723389,1618.259277,2642.08252,431.8959045,845.4642944,3636.159424,3838.109863,3180.08667,1981.140503,17,2489,-31.77083397,142.2624969,0.01268391,0,1386.461426,10.79458618,25.55349731,2.319820404,200,9.2387743,6.576748371,9.410920143,65.60564423,8.865288734,71.21848297,958,13,13,19.49166679,271,43.97993851,33.59999847,13.15000057,11.85000038,11.85000038,27,27,3.700000048,24.48962784,52,17,52,92,37,92,29.89999771,611.0528564
17876,86,159.3611908,169.75,143.3130035,0.049269769,152.4463043,161.8401489,163.4120789,147.6942291,4180.679199,261,72437,-1060,22649,27021,9285,3069,1096,610,16505,7922,164,723,32325,0.387295693,65,65,0.091896608,1.183948874,19.5,18280.35352,26865.0918,24.5,0,6234.455566,279.0712585,3177.01123,241.4791718,431.4194336,2995.060059,1494.012329,509.8110657,10463.74707,24.5,1503,-2.1875,103.3458328,46.9513855,0,768.2039185,15.11976433,33.01306915,0.279439718,199.7959595,16.69838905,73.63343811,49.04239273,41.30297852,25.72052193,44.79171753,174,19.5,1,26.39166641,2688,91.03942871,30.89999962,8.466666222,26.01666641,26.31666565,26.70000076,26.11666679,21.60000038,33.55374908,872,108,363,767,318,905,9.299999237,29.06368828
19234,92,160.3262329,171.2700043,145.4570007,0.047463324,154.3821564,161.7812347,164.6030731,149.943924,5094.374512,254,34614,2240,14642,24892,8903,4526,1597,665,18514,8094,171,937,23617,-0.189964131,55,55,0.442242175,1.045224667,71,11250,26419.22461,336,49,6933.32959,398.7932434,3665.844727,307.7653503,570.6664429,3482.73584,1944.554321,730.446167,9165.148438,65,1514,-2.079166651,102.7958298,42.89892578,0,714.3013916,12.29970932,39.40349579,2.266329288,200,7.079221725,72.36351776,50.79421997,40.2869606,20.58382225,46.91735458,591,27,1,26.63333321,2914,91.40351105,31.39999962,8.683333397,26.31666565,26.48333359,26.93333435,26.39999962,21.89999962,30.86210632,912,129,415,825,333,953,9.5,28.391222
12175,4404.5,127.3408966,172.3329926,90.19999695,0.198821962,106.918541,100.803154,140.7741547,128.2696228,3359.707031,833,344285,1603,44204,28168,9604,2287,1047,1440,23078,8838,424,696,210213,0.038108483,38.5,38.5,-0.154283196,1.800145864,4484.5,9070.943359,19768.95703,0,52,5865.87207,588.1998291,2470.821777,327.3882446,604.9788208,2515.193359,1721.251587,923.8922119,9165.320313,313.5,1101,36.22916794,140.1791687,366.7395935,0,1220.79187,16.4232235,23.68349838,11.03208256,200,9.758545876,20.12896538,31.16634369,42.94221878,33.28272629,58.71225357,9259,56.5,4,13.44999981,1341,29.07692337,30.79999924,9.449999809,3.483333349,3.483333349,23.54999924,20.81666565,-1.700000048,45.12934113,134,35,134,465,183,491,32.5,816.5754395
14011,184.8370806,103.5156937,184.5099945,26.0739994,0.54992485,43.56023788,175.5357666,155.6213837,35.12734604,5615.566895,554,160816,4670,29568,28934,9291,3103,991,1101,20956,8537,388,584,159742,0.351539552,74.5,74.5,-0.741451621,1.765239716,123.2247204,600,16966.27734,143.7621738,0,7639.896973,446.2999268,3562.119385,281.8200684,625.479126,3088.487793,1748.162354,753.4956665,10801.9834,205.3745339,739,52.29583359,-6.512499809,47.69306183,0,849.6077271,17.92235565,18.36398888,18.6751442,199.227005,37.6401825,74.65936279,59.3070755,42.38616943,39.2486763,55.87582016,677.735962,20.53745339,4,10.0583334,1036,40.33970261,17.89999962,6.333333015,6.133333206,13.08333302,14.63333321,6.133333206,2.200000048,24.75812912,333,58,188,228,121,333,15.69999981,356.2036743
11078,1745,95.50533295,181.4179993,16.70100021,0.623969555,29.39546204,91.86730194,157.8941498,151.8185425,5000.77832,492,138852,1715,29678,28146,9497,2858,1004,1131,21265,8667,336,651,88742,0.015169394,5,5,-0.138552114,0.2187583,109,600,11819.99512,1391,49,7084.469238,521.5759277,3368.66333,331.5982971,655.5262451,3219.925537,2034.407715,938.3538208,7430.45459,136,755,52.75416565,6.345833302,104.2655334,0,394.9528809,15.21351242,8.55830574,6.189700603,200,0.509673536,66.89269257,48.91534805,75.00026703,16.49174118,54.18062973,4090,709,4,9.283333778,837,35.13708496,20.10000038,8.116666794,2.599999905,5.299999714,16.16666603,6.25,-3,16.03788757,209,50,170,215,82,241,23.10000038,554.5855713
11108,1448,95.43790436,181.6900024,16.56229973,0.626344085,29.11885452,91.61585236,158.1084595,152.0155334,4149.798828,468,100217,2649,25837,27640,9572,3010,1365,1151,21033,8678,304,707,71475,-0.077170357,16,16,-0.123117968,0.175006941,117,500,10962.81348,3989,67,6310.149902,578.7840576,2955.010742,370.6428223,661.6068726,2777.646973,1918.418701,992.9673462,7001.544434,274,737,52.83750153,6.662499905,98.39732361,0,453.7632446,10.97702503,5.052038193,5.188211918,200,0.100773029,54.78151703,47.30786514,81.54139709,13.44477272,53.50996017,5867,39,4,9.116666794,819,34.55988312,20,7.983333111,2.5,5,16.06666756,6.166666508,-3.099999905,16.04625702,208,49,169,208,82,236,23.10000038,554.2576294
11496,2469,95.60095978,182.3509979,16.61580086,0.626269996,29.24223137,91.85349274,158.2779236,145.3533783,5438.085938,490,152779,2580,26146,27778,9013,3460,1195,1357,18742,8166,338,688,102838,-0.030927347,10,10,-0.030907691,0.097832069,193,503.56427,12374.50879,1890,81,7342.678223,534.4458008,3728.997314,338.0161743,710.911438,3338.739258,2082.660156,920.3945923,7600.337402,270,741,52.87916565,6.445833206,98.39732361,0,416.5709534,16.44348907,9.90904808,6.334293842,200,0,67.62619781,50.05244827,73.13667297,17.29071999,54.91040421,5787,964,4,9.141666412,853,35.28985596,20,8.116666794,2.516666651,5.049999714,16.08333397,6.150000095,-3,15.49854374,215,52,174,216,84,245,23,555.2838745
11175,2949,95.29004669,180.9029999,16.54899979,0.625769496,29.06589317,81.97661591,157.8845367,151.8460693,4197.61377,944,422578,3298,52035,28813,9536,1516,934,2124,23660,8908,568,607,335279,-0.030907687,14,14,0.123039201,0.1383553,402,500,11184.85352,5965,73,6345.310547,599.1283569,2904.671143,376.9830933,692.9437256,2770.064941,1957.602539,1079.243896,6846.655273,469,736,52.96250153,6.670833111,93.46557617,0,406.1905518,14.07191849,6.108401775,5.409976959,200,0.262830257,59.29524612,46.33576584,79.21126556,14.6190834,53.32891464,10053,268,4,9.054166794,823,34.97089005,19.79999924,8.008333206,2.450000048,4.933333397,15.94999981,6.133333206,-3.099999905,15.96154785,208,49,168,208,82,239,22.89999962,553.3306274
10194,2636,95.70722961,181.6649933,16.57390022,0.626825273,29.2258606,82.29030609,158.8956909,158.8956909,3614.189209,606,244244,2516,35614,27117,9092,3051,1381,1410,18815,8192,392,768,167883,0.046302255,3,3,0.077190161,0.097832069,63.5,500,11327,563.5,75,5626.659668,661.4443359,2768.465576,424.7424927,711.6896973,2613.401855,1943.974976,1135.20105,6642.399902,103.5,749,52.98749924,7.012499809,275.2067871,0,435.9340515,13.95212555,4.852316856,3.976247072,200,0,92.0291214,52.93322754,83.64624786,11.21448708,53.70230865,3902,535.5,4,9.179166794,764,33.51688766,19.79999924,7.608333111,2.416666746,4.983333111,16.13333321,6.183333397,-2.900000095,17.34985352,184,44,150,213,77,215,22.69999886,564.4404297
